Group Index,Data Splitting (Prop 0.5),Proposed (Prop 0.5),Naive (Prop 0.5),Data Splitting (Prop 0.6),Proposed (Prop 0.6),Naive (Prop 0.6),Data Splitting (Prop 0.7),Proposed (Prop 0.7),Naive (Prop 0.7),Data Splitting (Prop 0.8),Proposed (Prop 0.8),Naive (Prop 0.8)
1,0.04,0.12,0.09,0.01,0.12,0.09,0.05,0.12,0.1,0.04,0.12,0.11
2,0.66,0.78,0.89,0.61,0.82,0.88,0.5,0.77,0.85,0.42,0.77,0.89
3,0.13,0.3,0.31,0.12,0.32,0.31,0.08,0.35,0.29,0.04,0.3,0.28
4,0.06,0.13,0.13,0.03,0.13,0.1,0.04,0.13,0.1,0.04,0.17,0.09
5,0.04,0.11,0.12,0.05,0.13,0.15,0.06,0.1,0.1,0.07,0.19,0.24
6,0.23,0.36,0.5,0.18,0.35,0.55,0.16,0.39,0.5,0.13,0.4,0.46
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
9,0.15,0.1,0.33,0.16,0.08,0.35,0.19,0.09,0.3,0.19,0.1,0.28
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
12,0.01,0.0,0.06,0.03,0.01,0.06,0.03,0.0,0.06,0.03,0.02,0.05
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.2,0.12,0.56,0.21,0.14,0.57,0.17,0.13,0.58,0.11,0.16,0.52
16,0.02,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.01
17,0.05,0.07,0.23,0.05,0.13,0.25,0.06,0.15,0.29,0.08,0.17,0.29
18,0.02,0.08,0.09,0.01,0.11,0.09,0.02,0.1,0.08,0.03,0.11,0.08
19,0.0,0.01,0.02,0.01,0.01,0.03,0.02,0.03,0.02,0.0,0.05,0.05
20,0.01,0.08,0.09,0.01,0.1,0.09,0.02,0.13,0.11,0.02,0.09,0.1
21,0.02,0.06,0.12,0.02,0.06,0.12,0.03,0.1,0.14,0.02,0.15,0.12
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
23,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.03,0.01,0.0,0.0,0.02
