coverage rate,avg length,F1 score
0.885925,,0.4533584415584415
0.8805869047619047,10.450287662059882,0.4411194805194805
0.7690083333333333,,0.3419194805194805
0.8821583333333333,11.825220308686616,0.45291948051948056
0.8816166666666667,10.40441291676323,0.4554484848484848
0.7607999999999999,6.8511090035017785,0.3368069264069264
0.8881166666666667,11.140691977652514,0.4565965367965368
0.8813916666666667,10.340474221293187,0.46370995670995674
0.7545416666666667,6.7830856039300995,0.35594891774891774
0.8928166666666667,10.917882648302864,0.4599714285714286
0.8890083333333333,10.30428338848738,0.46202424242424245
0.7761666666666667,6.6908913507230015,0.32539134199134195
